airport_code,airport_name,enplanements,year
CHA,Lovell Field,292830,2010
MFR,Rogue Valley International - Medford,310824,2010
MSO,Missoula International,289875,2010
MOB,Mobile Regional,277232,2010
BMI,Central IL Regional Airport at Bloomington-Normal,274677,2010
CRW,Yeager,264818,2010
JAC,Jackson Hole,288325,2010
DAB,Daytona Beach International,246627,2010
FWA,Fort Wayne International,273056,2010
AGS,Augusta Regional at Bush Field,246587,2010
SHV,Shreveport Regional,237945,2010
FAY,Fayetteville Regional/Grannis Field,258986,2010
RAP,Rapid City Regional,284126,2010
PIA,General Downing - Peoria International,249595,2010
ATW,Outagamie County Regional,272471,2010
BQN,Rafael Hernandez,241976,2010
RDM,Roberts Field,226400,2010
AVP,Wilkes-Barre/Scranton International,213422,2010
LFT,Lafayette Regional,220211,2010
ASE,Aspen-Pitkin County/Sardy Field,222755,2010
TRI,Tri-Cities Regional TN/VA,202114,2010
GRK,Robert Gray AAF,243861,2010
GJT,Grand Junction Regional,219358,2010
CHO,Charlottesville-Albemarle,197776,2010
SWF,Stewart International,201684,2010
MLB,Melbourne International,180441,2010
BIS,Bismarck Municipal,196285,2010
BVU,Boulder City Municipal,169923,2010
EGE,Eagle County Regional,201010,2010
AEX,Alexandria International,179129,2010
MGM,Montgomery Regional (Dannelly Field),194540,2010
LAN,Capital Region International,136548,2010
STX,Henry E Rohlsen,187211,2010
MRY,Monterey Peninsula,190527,2010
GPI,Glacier Park International,175222,2010
GNV,Gainesville Regional,159499,2010
DRO,Durango-La Plata County,163611,2010
TVC,Cherry Capital,167488,2010
OAJ,Albert J Ellis,154307,2010
EVV,Evansville Regional,169967,2010
ACK,Nantucket Memorial,201390,2010
GTF,Great Falls International,155204,2010
ELM,Elmira/Corning Regional,131358,2010
BET,Bethel,144353,2010
MOT,Minot International,91120,2010
IDA,Idaho Falls Regional,144365,2010
AZO,Kalamazoo/Battle Creek International,135555,2010
BFL,Meadows Field,111699,2010
PGD,Punta Gorda,87041,2010
